  # aggregation: #!165scams
  # source: https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/29E8E643-88ED-4952-B21E-BD42A3B7108C/resource/30001015-F0DA-40AE-945C-43EF73A4DDDF/download
  # homepage: https://data.gov.tw/dataset/176455
autodiscover.dashdeexj.com #!165scams
test.dashdeexj.com #!165scams
email.dashdeexj.com #!165scams
wap.dashdeexj.com #!165scams
ns1.dashdeexj.com #!165scams
vpn.dashdeexj.com #!165scams
www2.dashdeexj.com #!165scams
ns2.dashdeexj.com #!165scams
dev.dashdeexj.com #!165scams
news.dashdeexj.com #!165scams
web.dashdeexj.com #!165scams
mobile.dashdeexj.com #!165scams
sip.dashdeexj.com #!165scams
cpanel.dashdeexj.com #!165scams
ns.dashdeexj.com #!165scams
www1.dashdeexj.com #!165scams
img.dashdeexj.com #!165scams
support.dashdeexj.com #!165scams
media.dashdeexj.com #!165scams
e.dashdeexj.com #!165scams
secure.dashdeexj.com #!165scams
app.dashdeexj.com #!165scams
portal.dashdeexj.com #!165scams
demo.dashdeexj.com #!165scams
api.dashdeexj.com #!165scams
staging.dashdeexj.com #!165scams
static.dashdeexj.com #!165scams
download.dashdeexj.com #!165scams
cdn.dashdeexj.com #!165scams
cms.dashdeexj.com #!165scams
dns1.dashdeexj.com #!165scams
www3.dashdeexj.com #!165scams
lists.dashdeexj.com #!165scams
webproxy.dashdeexj.com #!165scams
mail1.dashdeexj.com #!165scams
proxy.dashdeexj.com #!165scams
get.dashdeexj.com #!165scams
pic.dashdeexj.com #!165scams
office.dashdeexj.com #!165scams
edu.dashdeexj.com #!165scams
ns4.dashdeexj.com #!165scams
b2b.dashdeexj.com #!165scams
cs.dashdeexj.com #!165scams
community.dashdeexj.com #!165scams
gis.dashdeexj.com #!165scams
start.dashdeexj.com #!165scams
services.dashdeexj.com #!165scams
d.dashdeexj.com #!165scams
wx.dashdeexj.com #!165scams
health.dashdeexj.com #!165scams
remote.dashdeexj.com #!165scams
soft.dashdeexj.com #!165scams
training.dashdeexj.com #!165scams
login.dashdeexj.com #!165scams
help.dashdeexj.com #!165scams
forums.dashdeexj.com #!165scams
jobs.dashdeexj.com #!165scams
sms.dashdeexj.com #!165scams
stage.dashdeexj.com #!165scams
send.dashdeexj.com #!165scams
a.dashdeexj.com #!165scams
ww.dashdeexj.com #!165scams
sz.dashdeexj.com #!165scams
im.dashdeexj.com #!165scams
chat.dashdeexj.com #!165scams
go.dashdeexj.com #!165scams
ftp2.dashdeexj.com #!165scams
dialin.dashdeexj.com #!165scams
security.dashdeexj.com #!165scams
meet.dashdeexj.com #!165scams
upload.dashdeexj.com #!165scams
blogs.dashdeexj.com #!165scams
de.dashdeexj.com #!165scams
hk.dashdeexj.com #!165scams
down.dashdeexj.com #!165scams
english.dashdeexj.com #!165scams
ssh.dashdeexj.com #!165scams
fr.dashdeexj.com #!165scams
exchange.dashdeexj.com #!165scams
av.dashdeexj.com #!165scams
so.dashdeexj.com #!165scams
cp.dashdeexj.com #!165scams
erp.dashdeexj.com #!165scams
cloud.dashdeexj.com #!165scams
ldap.dashdeexj.com #!165scams
ad.dashdeexj.com #!165scams
archive.dashdeexj.com #!165scams
connect.dashdeexj.com #!165scams
alumni.dashdeexj.com #!165scams
gmail.dashdeexj.com #!165scams
tools.dashdeexj.com #!165scams
careers.dashdeexj.com #!165scams
hq.dashdeexj.com #!165scams
ns5.dashdeexj.com #!165scams
helpdesk.dashdeexj.com #!165scams
vc.dashdeexj.com #!165scams
extranet.dashdeexj.com #!165scams
sp.dashdeexj.com #!165scams
svn.dashdeexj.com #!165scams
tz.dashdeexj.com #!165scams
ask.dashdeexj.com #!165scams
zb.dashdeexj.com #!165scams
mx2.dashdeexj.com #!165scams
hd.dashdeexj.com #!165scams
qa.dashdeexj.com #!165scams
dj.dashdeexj.com #!165scams
bm.dashdeexj.com #!165scams
jp.dashdeexj.com #!165scams
club.dashdeexj.com #!165scams
project.dashdeexj.com #!165scams
feeds.dashdeexj.com #!165scams
update.dashdeexj.com #!165scams
tj.dashdeexj.com #!165scams
as.dashdeexj.com #!165scams
gb.dashdeexj.com #!165scams
1.dashdeexj.com #!165scams
dx.dashdeexj.com #!165scams
auth.dashdeexj.com #!165scams
tw.dashdeexj.com #!165scams
preview.dashdeexj.com #!165scams
dns3.dashdeexj.com #!165scams
content.dashdeexj.com #!165scams
cq.dashdeexj.com #!165scams
car.dashdeexj.com #!165scams
monitor.dashdeexj.com #!165scams
backup.dashdeexj.com #!165scams
c.dashdeexj.com #!165scams
meeting.dashdeexj.com #!165scams
photos.dashdeexj.com #!165scams
games.dashdeexj.com #!165scams
gw.dashdeexj.com #!165scams
groups.dashdeexj.com #!165scams
pt.dashdeexj.com #!165scams
music.dashdeexj.com #!165scams
forms.dashdeexj.com #!165scams
cx.dashdeexj.com #!165scams
techmang.dashdeexj.com #!165scams
cj.dashdeexj.com #!165scams
bj.dashdeexj.com #!165scams
math.dashdeexj.com #!165scams
mang.dashdeexj.com #!165scams
ntp.dashdeexj.com #!165scams
open.dashdeexj.com #!165scams
biz.dashdeexj.com #!165scams
in.dashdeexj.com #!165scams
house.dashdeexj.com #!165scams
x.dashdeexj.com #!165scams
citrix.dashdeexj.com #!165scams
tp.dashdeexj.com #!165scams
card.dashdeexj.com #!165scams
gh.dashdeexj.com #!165scams
sd.dashdeexj.com #!165scams
jw.dashdeexj.com #!165scams
rt.dashdeexj.com #!165scams
reg.dashdeexj.com #!165scams
ticket.dashdeexj.com #!165scams
irc.dashdeexj.com #!165scams
cache.dashdeexj.com #!165scams
youth.dashdeexj.com #!165scams
newsletter.dashdeexj.com #!165scams
reports.dashdeexj.com #!165scams
cm.dashdeexj.com #!165scams
account.dashdeexj.com #!165scams
site.dashdeexj.com #!165scams
vote.dashdeexj.com #!165scams
ems.dashdeexj.com #!165scams
manage.dashdeexj.com #!165scams
mssql.dashdeexj.com #!165scams
partner.dashdeexj.com #!165scams
user.dashdeexj.com #!165scams
sg.dashdeexj.com #!165scams
tg.dashdeexj.com #!165scams
xx.dashdeexj.com #!165scams
business.dashdeexj.com #!165scams
vpn1.dashdeexj.com #!165scams
fs.dashdeexj.com #!165scams
cl.dashdeexj.com #!165scams
abc.dashdeexj.com #!165scams
alpha.dashdeexj.com #!165scams
money.dashdeexj.com #!165scams
stat.dashdeexj.com #!165scams
local.dashdeexj.com #!165scams
tuan.dashdeexj.com #!165scams
pages.dashdeexj.com #!165scams
mail3.dashdeexj.com #!165scams
time.dashdeexj.com #!165scams
stream.dashdeexj.com #!165scams
partners.dashdeexj.com #!165scams
view.dashdeexj.com #!165scams
g.dashdeexj.com #!165scams
inside.dashdeexj.com #!165scams
gallery.dashdeexj.com #!165scams
wp.dashdeexj.com #!165scams
shopping.dashdeexj.com #!165scams
china.dashdeexj.com #!165scams
tr.dashdeexj.com #!165scams
test2.dashdeexj.com #!165scams
ja.dashdeexj.com #!165scams
sq.dashdeexj.com #!165scams
corp.dashdeexj.com #!165scams
jira.dashdeexj.com #!165scams
jd.dashdeexj.com #!165scams
list.dashdeexj.com #!165scams
customer.dashdeexj.com #!165scams
ec.dashdeexj.com #!165scams
adm.dashdeexj.com #!165scams
rtx.dashdeexj.com #!165scams
flash.dashdeexj.com #!165scams
corporate.dashdeexj.com #!165scams
wl.dashdeexj.com #!165scams
tour.dashdeexj.com #!165scams
smtp2.dashdeexj.com #!165scams
ps.dashdeexj.com #!165scams
idc.dashdeexj.com #!165scams
sm.dashdeexj.com #!165scams
bc.dashdeexj.com #!165scams
hy.dashdeexj.com #!165scams
fx.dashdeexj.com #!165scams
bb.dashdeexj.com #!165scams
weixin.dashdeexj.com #!165scams
tao.dashdeexj.com #!165scams
agent.dashdeexj.com #!165scams
journal.dashdeexj.com #!165scams
cd.dashdeexj.com #!165scams
cr.dashdeexj.com #!165scams
ra.dashdeexj.com #!165scams
teacher.dashdeexj.com #!165scams
dc.dashdeexj.com #!165scams
ace.dashdeexj.com #!165scams
ft.dashdeexj.com #!165scams
space.dashdeexj.com #!165scams
fw.dashdeexj.com #!165scams
mis.dashdeexj.com #!165scams
ip.dashdeexj.com #!165scams
catalog.dashdeexj.com #!165scams
css.dashdeexj.com #!165scams
sentry.dashdeexj.com #!165scams
3.dashdeexj.com #!165scams
internal.dashdeexj.com #!165scams
sy.dashdeexj.com #!165scams
mms.dashdeexj.com #!165scams
exam.dashdeexj.com #!165scams
hotel.dashdeexj.com #!165scams
conference.dashdeexj.com #!165scams
eng.dashdeexj.com #!165scams
world.dashdeexj.com #!165scams
sts.dashdeexj.com #!165scams
id.dashdeexj.com #!165scams
push.dashdeexj.com #!165scams
